,Total Nuclear production (Billion Btu),State
2001  ,0,Kentucky
2002  ,0,Kentucky
2003  ,0,Kentucky
2004  ,0,Kentucky
2005  ,0,Kentucky
2006  ,0,Kentucky
2007  ,0,Kentucky
2008  ,0,Kentucky
2009  ,0,Kentucky
2010  ,0,Kentucky
2011  ,0,Kentucky
2012  ,0,Kentucky
2013  ,0,Kentucky
2014  ,0,Kentucky
2015  ,0,Kentucky
2016  ,0,Kentucky
2017  ,0,Kentucky
2018  ,0,Kentucky
1960  ,0,Louisiana
1961  ,0,Louisiana
1962  ,0,Louisiana
1963  ,0,Louisiana
1964  ,0,Louisiana
1965  ,0,Louisiana
1966  ,0,Louisiana
1967  ,0,Louisiana
1968  ,0,Louisiana
1969  ,0,Louisiana
1970  ,0,Louisiana
1971  ,0,Louisiana
1972  ,0,Louisiana
1973  ,0,Louisiana
1974  ,0,Louisiana
1975  ,0,Louisiana
1976  ,0,Louisiana
1977  ,0,Louisiana
1978  ,0,Louisiana
1979  ,0,Louisiana
1980  ,0,Louisiana
1981  ,0,Louisiana
1982  ,0,Louisiana
1983  ,0,Louisiana
1984  ,0,Louisiana
1985  ,26102,Louisiana
1986  ,112532,Louisiana
1987  ,128688,Louisiana
1988  ,146152,Louisiana
1989  ,131136,Louisiana
1990  ,150230,Louisiana
1991  ,146317,Louisiana
1992  ,108433,Louisiana
1993  ,151238,Louisiana
1994  ,133562,Louisiana
1995  ,164812,Louisiana
1996  ,165578,Louisiana
1997  ,141785,Louisiana
1998  ,172341,Louisiana
1999  ,137016,Louisiana
2000  ,164734,Louisiana
2001  ,181041,Louisiana
2002  ,180702,Louisiana
2003  ,168069,Louisiana
2004  ,178110,Louisiana
2005  ,163598,Louisiana
2006  ,174634,Louisiana
2007  ,179127,Louisiana
2008  ,160658,Louisiana
2009  ,175524,Louisiana
2010  ,194818,Louisiana
2011  ,173859,Louisiana
2012  ,164092,Louisiana
2013  ,177156,Louisiana
2014  ,181059,Louisiana
2015  ,160015,Louisiana
2016  ,179391,Louisiana
2017  ,161171,Louisiana
2018  ,179330,Louisiana
1960  ,394,Massachusetts
1961  ,9931,Massachusetts
1962  ,8017,Massachusetts
1963  ,11181,Massachusetts
1964  ,14166,Massachusetts
1965  ,11407,Massachusetts
1966  ,12572,Massachusetts
1967  ,14707,Massachusetts
1968  ,13757,Massachusetts
1969  ,12614,Massachusetts
1970  ,13272,Massachusetts
1971  ,15554,Massachusetts
1972  ,16179,Massachusetts
1973  ,55829,Massachusetts
1974  ,32196,Massachusetts
1975  ,41636,Massachusetts
1976  ,40475,Massachusetts
1977  ,39571,Massachusetts
1978  ,60943,Massachusetts
1979  ,66113,Massachusetts
1980  ,35255,Massachusetts
1981  ,47766,Massachusetts
1982  ,46212,Massachusetts
1983  ,66116,Massachusetts
1984  ,11221,Massachusetts
1985  ,65141,Massachusetts
1986  ,25604,Massachusetts
1987  ,11863,Massachusetts
1988  ,11841,Massachusetts
1989  ,31906,Massachusetts
1990  ,53647,Massachusetts
1991  ,46304,Massachusetts
1992  ,49653,Massachusetts
1993  ,45574,Massachusetts
1994  ,40330,Massachusetts
1995  ,47133,Massachusetts
1996  ,55922,Massachusetts
1997  ,45234,Massachusetts
1998  ,59782,Massachusetts
1999  ,47218,Massachusetts
2000  ,57487,Massachusetts
2001  ,53719,Massachusetts
2002  ,60237,Massachusetts
2003  ,51880,Massachusetts
2004  ,61928,Massachusetts
2005  ,57138,Massachusetts
2006  ,60832,Massachusetts
2007  ,53701,Massachusetts
2008  ,61339,Massachusetts
2009  ,56437,Massachusetts
2010  ,61853,Massachusetts
2011  ,53212,Massachusetts
2012  ,61402,Massachusetts
2013  ,45251,Massachusetts
2014  ,60340,Massachusetts
2015  ,52236,Massachusetts
2016  ,56628,Massachusetts
2017  ,52788,Massachusetts
2018  ,46437,Massachusetts
1960  ,0,Maryland
1961  ,0,Maryland
1962  ,0,Maryland
1963  ,0,Maryland
1964  ,0,Maryland
1965  ,0,Maryland
1966  ,0,Maryland
1967  ,0,Maryland
1968  ,0,Maryland
1969  ,0,Maryland
1970  ,0,Maryland
1971  ,0,Maryland
1972  ,0,Maryland
1973  ,0,Maryland
1974  ,0,Maryland
1975  ,48307,Maryland
1976  ,70921,Maryland
1977  ,117181,Maryland
1978  ,108272,Maryland
1979  ,105240,Maryland
1980  ,119409,Maryland
1981  ,127095,Maryland
1982  ,114555,Maryland
1983  ,127325,Maryland
1984  ,126334,Maryland
1985  ,105434,Maryland
1986  ,135704,Maryland
1987  ,105147,Maryland
1988  ,124404,Maryland
1989  ,28777,Maryland
1990  ,13242,Maryland
1991  ,94734,Maryland
1992  ,111662,Maryland
1993  ,129208,Maryland
1994  ,117432,Maryland
1995  ,135939,Maryland
1996  ,127010,Maryland
1997  ,138657,Maryland
1998  ,139851,Maryland
1999  ,139114,Maryland
2000  ,144204,Maryland
2001  ,142612,Maryland
2002  ,126641,Maryland
2003  ,142685,Maryland
2004  ,152043,Maryland
2005  ,153443,Maryland
2006  ,144320,Maryland
2007  ,150551,Maryland
2008  ,153422,Maryland
2009  ,152180,Maryland
2010  ,146265,Maryland
2011  ,150655,Maryland
2012  ,142297,Maryland
2013  ,149048,Maryland
2014  ,150017,Maryland
2015  ,153140,Maryland
2016  ,154377,Maryland
2017  ,158004,Maryland
2018  ,156699,Maryland
1960  ,0,Maine
1961  ,0,Maine
1962  ,0,Maine
1963  ,0,Maine
1964  ,0,Maine
1965  ,0,Maine
1966  ,0,Maine
1967  ,0,Maine
1968  ,0,Maine
1969  ,0,Maine
1970  ,0,Maine
1971  ,0,Maine
1972  ,586,Maine
1973  ,36540,Maine
1974  ,39893,Maine
1975  ,49586,Maine
1976  ,65496,Maine
1977  ,55386,Maine
1978  ,58582,Maine
1979  ,48928,Maine
1980  ,48040,Maine
1981  ,57488,Maine
1982  ,50097,Maine
1983  ,62488,Maine
1984  ,55552,Maine
1985  ,56875,Maine
1986  ,66032,Maine
1987  ,42216,Maine
1988  ,53192,Maine
1989  ,73464,Maine
1990  ,51436,Maine
1991  ,65676,Maine
1992  ,56104,Maine
1993  ,60292,Maine
1994  ,69317,Maine
1995  ,2076,Maine
1996  ,53166,Maine
1997  ,0,Maine
1998  ,0,Maine
1999  ,0,Maine
2000  ,0,Maine
2001  ,0,Maine
2002  ,0,Maine
2003  ,0,Maine
2004  ,0,Maine
2005  ,0,Maine
2006  ,0,Maine
2007  ,0,Maine
2008  ,0,Maine
2009  ,0,Maine
2010  ,0,Maine
2011  ,0,Maine
2012  ,0,Maine
2013  ,0,Maine
2014  ,0,Maine
2015  ,0,Maine
2016  ,0,Maine
2017  ,0,Maine
2018  ,0,Maine
1960  ,0,Michigan
1961  ,0,Michigan
1962  ,0,Michigan
1963  ,1453,Michigan
1964  ,2293,Michigan
1965  ,2132,Michigan
1966  ,3983,Michigan
1967  ,5801,Michigan
1968  ,4808,Michigan
1969  ,4426,Michigan
1970  ,4113,Michigan
1971  ,4200,Michigan
1972  ,22935,Michigan
1973  ,32490,Michigan
1974  ,4641,Michigan
1975  ,79031,Michigan
1976  ,109371,Michigan
1977  ,110182,Michigan
1978  ,143373,Michigan
1979  ,164699,Michigan
1980  ,173339,Michigan
1981  ,188239,Michigan
1982  ,166124,Michigan
1983  ,178651,Michigan
1984  ,152652,Michigan
1985  ,142886,Michigan
1986  ,129671,Michigan
1987  ,150251,Michigan
1988  ,188799,Michigan
1989  ,225547,Michigan
1990  ,228682,Michigan
1991  ,283290,Michigan
1992  ,197365,Michigan
1993  ,299627,Michigan
1994  ,147836,Michigan
1995  ,256879,Michigan
1996  ,281789,Michigan
1997  ,229964,Michigan
1998  ,131076,Michigan
1999  ,152473,Michigan
2000  ,196925,Michigan
2001  ,278941,Michigan
2002  ,324615,Michigan
2003  ,291332,Michigan
2004  ,318700,Michigan
2005  ,343048,Michigan
2006  ,303305,Michigan
2007  ,330581,Michigan
2008  ,329075,Michigan
2009  ,228540,Michigan
2010  ,309636,Michigan
2011  ,344155,Michigan
2012  ,293619,Michigan
2013  ,302194,Michigan
2014  ,326800,Michigan
2015  ,306773,Michigan
2016  ,329999,Michigan
2017  ,338675,Michigan
2018  ,318655,Michigan
1960  ,0,Minnesota
1961  ,0,Minnesota
1962  ,0,Minnesota
1963  ,8,Minnesota
1964  ,669,Minnesota
1965  ,1693,Minnesota
1966  ,1498,Minnesota
1967  ,1624,Minnesota
1968  ,167,Minnesota
1969  ,0,Minnesota
1970  ,0,Minnesota
1971  ,15106,Minnesota
1972  ,38405,Minnesota
1973  ,35654,Minnesota
1974  ,48695,Minnesota
1975  ,107372,Minnesota
1976  ,109482,Minnesota
1977  ,120211,Minnesota
1978  ,126822,Minnesota
1979  ,125146,Minnesota
1980  ,109374,Minnesota
1981  ,112360,Minnesota
1982  ,112911,Minnesota
1983  ,128164,Minnesota
1984  ,90306,Minnesota
1985  ,122923,Minnesota
1986  ,116919,Minnesota
1987  ,120643,Minnesota
1988  ,130279,Minnesota
1989  ,115634,Minnesota
1990  ,128458,Minnesota
1991  ,126427,Minnesota
1992  ,116923,Minnesota
1993  ,125902,Minnesota
1994  ,127761,Minnesota
1995  ,139149,Minnesota
1996  ,127035,Minnesota
1997  ,113536,Minnesota
1998  ,122158,Minnesota
1999  ,139148,Minnesota
2000  ,135160,Minnesota
2001  ,123113,Minnesota
2002  ,142897,Minnesota
2003  ,139799,Minnesota
2004  ,138645,Minnesota
2005  ,133948,Minnesota
2006  ,137569,Minnesota
2007  ,137437,Minnesota
2008  ,135843,Minnesota
2009  ,129623,Minnesota
2010  ,140873,Minnesota
2011  ,125134,Minnesota
2012  ,125159,Minnesota
2013  ,111885,Minnesota
2014  ,132904,Minnesota
2015  ,125900,Minnesota
2016  ,144970,Minnesota
2017  ,145426,Minnesota
2018  ,152657,Minnesota
1960  ,0,Missouri
1961  ,0,Missouri
1962  ,0,Missouri
1963  ,0,Missouri
1964  ,0,Missouri
1965  ,0,Missouri
1966  ,0,Missouri
1967  ,0,Missouri
1968  ,0,Missouri
1969  ,0,Missouri
1970  ,0,Missouri
1971  ,0,Missouri
1972  ,0,Missouri
1973  ,0,Missouri
1974  ,0,Missouri
1975  ,0,Missouri
1976  ,0,Missouri
1977  ,0,Missouri
1978  ,0,Missouri
1979  ,0,Missouri
1980  ,0,Missouri
1981  ,0,Missouri
1982  ,0,Missouri
1983  ,0,Missouri
1984  ,9978,Missouri
1985  ,85290,Missouri
1986  ,75854,Missouri
1987  ,65615,Missouri
1988  ,94731,Missouri
1989  ,88307,Missouri
1990  ,84635,Missouri
1991  ,104624,Missouri
1992  ,84647,Missouri
1993  ,88038,Missouri
1994  ,104588,Missouri
1995  ,86597,Missouri
1996  ,93376,Missouri
1997  ,93970,Missouri
1998  ,89349,Missouri
1999  ,89730,Missouri
2000  ,104205,Missouri
2001  ,87557,Missouri
2002  ,87605,Missouri
2003  ,101089,Missouri
2004  ,81658,Missouri
2005  ,83807,Missouri
2006  ,105567,Missouri
2007  ,98302,Missouri
2008  ,98025,Missouri
2009  ,107175,Missouri
2010  ,94027,Missouri
2011  ,98062,Missouri
2012  ,112317,Missouri
2013  ,87428,Missouri
2014  ,97021,Missouri
2015  ,109182,Missouri
2016  ,98630,Missouri
2017  ,86853,Missouri
2018  ,111401,Missouri
1960  ,0,Mississippi
1961  ,0,Mississippi
1962  ,0,Mississippi
1963  ,0,Mississippi
1964  ,0,Mississippi
1965  ,0,Mississippi
1966  ,0,Mississippi
1967  ,0,Mississippi
1968  ,0,Mississippi
1969  ,0,Mississippi
1970  ,0,Mississippi
1971  ,0,Mississippi
1972  ,0,Mississippi
1973  ,0,Mississippi
1974  ,0,Mississippi
1975  ,0,Mississippi
1976  ,0,Mississippi
1977  ,0,Mississippi
1978  ,0,Mississippi
1979  ,0,Mississippi
1980  ,0,Mississippi
1981  ,0,Mississippi
1982  ,0,Mississippi
1983  ,0,Mississippi
1984  ,1789,Mississippi
1985  ,46014,Mississippi
1986  ,43233,Mississippi
1987  ,80577,Mississippi
1988  ,101592,Mississippi
1989  ,82824,Mississippi
1990  ,78541,Mississippi
1991  ,95750,Mississippi
1992  ,85587,Mississippi
1993  ,83019,Mississippi
1994  ,100493,Mississippi
1995  ,84196,Mississippi
1996  ,96886,Mississippi
1997  ,113467,Mississippi
1998  ,96418,Mississippi
1999  ,88075,Mississippi
2000  ,111534,Mississippi
2001  ,103635,Mississippi
2002  ,105041,Mississippi
2003  ,113625,Mississippi
2004  ,106707,Mississippi
2005  ,105172,Mississippi
2006  ,108718,Mississippi
2007  ,98164,Mississippi
2008  ,98215,Mississippi
2009  ,115033,Mississippi
2010  ,100791,Mississippi
2011  ,108164,Mississippi
2012  ,76456,Mississippi
2013  ,113523,Mississippi
2014  ,107228,Mississippi
2015  ,122511,Mississippi
2016  ,61680,Mississippi
2017  ,77027,Mississippi
2018  ,72343,Mississippi
1960  ,0,Montana
1961  ,0,Montana
1962  ,0,Montana
1963  ,0,Montana
1964  ,0,Montana
1965  ,0,Montana
1966  ,0,Montana
1967  ,0,Montana
1968  ,0,Montana
1969  ,0,Montana
1970  ,0,Montana
1971  ,0,Montana
1972  ,0,Montana
1973  ,0,Montana
1974  ,0,Montana
1975  ,0,Montana
1976  ,0,Montana
1977  ,0,Montana
1978  ,0,Montana
1979  ,0,Montana
1980  ,0,Montana
1981  ,0,Montana
1982  ,0,Montana
1983  ,0,Montana
1984  ,0,Montana
1985  ,0,Montana
1986  ,0,Montana
1987  ,0,Montana
1988  ,0,Montana
1989  ,0,Montana
1990  ,0,Montana
1991  ,0,Montana
1992  ,0,Montana
1993  ,0,Montana
1994  ,0,Montana
1995  ,0,Montana
1996  ,0,Montana
1997  ,0,Montana
1998  ,0,Montana
1999  ,0,Montana
2000  ,0,Montana
2001  ,0,Montana
2002  ,0,Montana
2003  ,0,Montana
2004  ,0,Montana
2005  ,0,Montana
2006  ,0,Montana
2007  ,0,Montana
2008  ,0,Montana
2009  ,0,Montana
2010  ,0,Montana
2011  ,0,Montana
2012  ,0,Montana
2013  ,0,Montana
2014  ,0,Montana
2015  ,0,Montana
2016  ,0,Montana
2017  ,0,Montana
2018  ,0,Montana
1960  ,0,North Carolina
1961  ,0,North Carolina
1962  ,0,North Carolina
1963  ,0,North Carolina
1964  ,0,North Carolina
1965  ,0,North Carolina
1966  ,0,North Carolina
1967  ,0,North Carolina
1968  ,0,North Carolina
1969  ,0,North Carolina
1970  ,0,North Carolina
1971  ,0,North Carolina
1972  ,0,North Carolina
1973  ,0,North Carolina
1974  ,0,North Carolina
1975  ,15477,North Carolina
1976  ,27744,North Carolina
1977  ,60997,North Carolina
1978  ,108501,North Carolina
1979  ,74080,North Carolina
1980  ,62997,North Carolina
1981  ,68894,North Carolina
1982  ,101057,North Carolina
1983  ,134819,North Carolina
1984  ,219376,North Carolina
1985  ,205037,North Carolina
1986  ,214610,North Carolina
1987  ,298644,North Carolina
1988  ,309008,North Carolina
1989  ,309152,North Carolina
1990  ,274130,North Carolina
1991  ,317795,North Carolina
1992  ,238255,North Carolina
1993  ,249564,North Carolina
1994  ,338080,North Carolina
1995  ,377308,North Carolina
1996  ,354142,North Carolina
1997  ,340563,North Carolina
1998  ,406822,North Carolina
1999  ,392121,North Carolina
2000  ,408054,North Carolina
2001  ,394485,North Carolina
2002  ,413784,North Carolina
2003  ,426332,North Carolina
2004  ,418065,North Carolina
2005  ,417249,North Carolina
2006  ,417016,North Carolina
2007  ,420029,North Carolina
2008  ,415742,North Carolina
2009  ,427226,North Carolina
2010  ,425810,North Carolina
2011  ,424073,North Carolina
2012  ,412722,North Carolina
2013  ,420486,North Carolina
2014  ,428474,North Carolina
2015  ,440248,North Carolina
2016  ,447500,North Carolina
2017  ,443192,North Carolina
2018  ,439915,North Carolina
1960  ,0,North Dakota
1961  ,0,North Dakota
1962  ,0,North Dakota
1963  ,0,North Dakota
1964  ,0,North Dakota
1965  ,0,North Dakota
1966  ,0,North Dakota
1967  ,0,North Dakota
1968  ,0,North Dakota
1969  ,0,North Dakota
1970  ,0,North Dakota
1971  ,0,North Dakota
1972  ,0,North Dakota
1973  ,0,North Dakota
1974  ,0,North Dakota
1975  ,0,North Dakota
1976  ,0,North Dakota
1977  ,0,North Dakota
1978  ,0,North Dakota
1979  ,0,North Dakota
1980  ,0,North Dakota
1981  ,0,North Dakota
1982  ,0,North Dakota
1983  ,0,North Dakota
1984  ,0,North Dakota
1985  ,0,North Dakota
1986  ,0,North Dakota
1987  ,0,North Dakota
1988  ,0,North Dakota
1989  ,0,North Dakota
1990  ,0,North Dakota
1991  ,0,North Dakota
1992  ,0,North Dakota
1993  ,0,North Dakota
1994  ,0,North Dakota
1995  ,0,North Dakota
1996  ,0,North Dakota
1997  ,0,North Dakota
1998  ,0,North Dakota
1999  ,0,North Dakota
2000  ,0,North Dakota
2001  ,0,North Dakota
2002  ,0,North Dakota
2003  ,0,North Dakota
2004  ,0,North Dakota
2005  ,0,North Dakota
2006  ,0,North Dakota
2007  ,0,North Dakota
2008  ,0,North Dakota
2009  ,0,North Dakota
2010  ,0,North Dakota
2011  ,0,North Dakota
2012  ,0,North Dakota
2013  ,0,North Dakota
2014  ,0,North Dakota
2015  ,0,North Dakota
2016  ,0,North Dakota
2017  ,0,North Dakota
2018  ,0,North Dakota
1960  ,0,Nebraska
1961  ,0,Nebraska
1962  ,0,Nebraska
1963  ,886,Nebraska
1964  ,1082,Nebraska
1965  ,-64,Nebraska
1966  ,0,Nebraska
1967  ,0,Nebraska
1968  ,0,Nebraska
1969  ,0,Nebraska
1970  ,0,Nebraska
1971  ,0,Nebraska
1972  ,0,Nebraska
1973  ,6536,Nebraska
1974  ,44596,Nebraska
1975  ,65153,Nebraska
1976  ,64335,Nebraska
1977  ,80249,Nebraska
1978  ,84522,Nebraska
1979  ,94196,Nebraska
1980  ,63082,Nebraska
1981  ,66048,Nebraska
1982  ,96917,Nebraska
1983  ,66321,Nebraska
1984  ,62676,Nebraska
1985  ,43911,Nebraska
1986  ,81009,Nebraska
1987  ,89684,Nebraska
1988  ,72391,Nebraska
1989  ,85480,Nebraska
1990  ,79485,Nebraska
1991  ,84372,Nebraska
1992  ,91605,Nebraska
1993  ,71481,Nebraska
1994  ,66321,Nebraska
1995  ,78650,Nebraska
1996  ,99325,Nebraska
1997  ,97267,Nebraska
1998  ,86643,Nebraska
1999  ,105452,Nebraska
2000  ,89988,Nebraska
2001  ,91127,Nebraska
2002  ,105696,Nebraska
2003  ,83344,Nebraska
2004  ,106796,Nebraska
2005  ,91856,Nebraska
2006  ,93943,Nebraska
2007  ,115815,Nebraska
2008  ,99075,Nebraska
2009  ,98682,Nebraska
2010  ,115540,Nebraska
2011  ,72549,Nebraska
2012  ,60795,Nebraska
2013  ,71736,Nebraska
2014  ,105655,Nebraska
2015  ,107976,Nebraska
2016  ,97798,Nebraska
2017  ,72300,Nebraska
2018  ,58884,Nebraska
1960  ,0,New Hampshire
1961  ,0,New Hampshire
1962  ,0,New Hampshire
1963  ,0,New Hampshire
1964  ,0,New Hampshire
1965  ,0,New Hampshire
1966  ,0,New Hampshire
1967  ,0,New Hampshire
1968  ,0,New Hampshire
1969  ,0,New Hampshire
1970  ,0,New Hampshire
1971  ,0,New Hampshire
1972  ,0,New Hampshire
1973  ,0,New Hampshire
1974  ,0,New Hampshire
1975  ,0,New Hampshire
1976  ,0,New Hampshire
1977  ,0,New Hampshire
1978  ,0,New Hampshire
1979  ,0,New Hampshire
1980  ,0,New Hampshire
1981  ,0,New Hampshire
1982  ,0,New Hampshire
1983  ,0,New Hampshire
1984  ,0,New Hampshire
1985  ,0,New Hampshire
1986  ,0,New Hampshire
1987  ,0,New Hampshire
1988  ,0,New Hampshire
1989  ,0,New Hampshire
1990  ,43182,New Hampshire
1991  ,71164,New Hampshire
1992  ,82393,New Hampshire
1993  ,95028,New Hampshire
1994  ,64842,New Hampshire
1995  ,88042,New Hampshire
1996  ,103399,New Hampshire
1997  ,83736,New Hampshire
1998  ,87988,New Hampshire
1999  ,90667,New Hampshire
2000  ,82617,New Hampshire
2001  ,90778,New Hampshire
2002  ,97054,New Hampshire
2003  ,96677,New Hampshire
2004  ,106132,New Hampshire
2005  ,98682,New Hampshire
2006  ,98067,New Hampshire
2007  ,112902,New Hampshire
2008  ,97729,New Hampshire
2009  ,92214,New Hampshire
2010  ,114032,New Hampshire
2011  ,87508,New Hampshire
2012  ,85814,New Hampshire
2013  ,114173,New Hampshire
2014  ,106350,New Hampshire
2015  ,99186,New Hampshire
2016  ,112551,New Hampshire
2017  ,104493,New Hampshire
2018  ,105195,New Hampshire
1960  ,0,New Jersey
1961  ,0,New Jersey
1962  ,0,New Jersey
1963  ,0,New Jersey
1964  ,0,New Jersey
1965  ,0,New Jersey
1966  ,0,New Jersey
1967  ,0,New Jersey
1968  ,0,New Jersey
1969  ,1182,New Jersey
1970  ,37917,New Jersey
1971  ,41455,New Jersey
1972  ,47008,New Jersey
1973  ,39087,New Jersey
1974  ,41000,New Jersey
1975  ,34645,New Jersey
1976  ,42587,New Jersey
1977  ,74941,New Jersey
1978  ,89372,New Jersey
1979  ,71918,New Jersey
1980  ,83192,New Jersey
1981  ,128776,New Jersey
1982  ,155455,New Jersey
1983  ,69006,New Jersey
1984  ,60825,New Jersey
1985  ,188752,New Jersey
1986  ,156254,New Jersey
1987  ,237006,New Jersey
1988  ,253285,New Jersey
1989  ,243746,New Jersey
1990  ,251538,New Jersey
1991  ,260072,New Jersey
1992  ,226122,New Jersey
1993  ,261888,New Jersey
1994  ,231296,New Jersey
1995  ,176576,New Jersey
1996  ,115826,New Jersey
1997  ,145951,New Jersey
1998  ,284643,New Jersey
1999  ,302746,New Jersey
2000  ,298041,New Jersey
2001  ,318190,New Jersey
2002  ,322299,New Jersey
2003  ,309629,New Jersey
2004  ,282407,New Jersey
2005  ,327604,New Jersey
2006  ,339846,New Jersey
2007  ,335757,New Jersey
2008  ,336500,New Jersey
2009  ,359036,New Jersey
2010  ,342526,New Jersey
2011  ,351658,New Jersey
2012  ,346962,New Jersey
2013  ,348784,New Jersey
2014  ,329533,New Jersey
2015  ,347851,New Jersey
2016  ,312569,New Jersey
2017  ,355948,New Jersey
2018  ,334373,New Jersey
1960  ,0,New Mexico
1961  ,0,New Mexico
1962  ,0,New Mexico
1963  ,0,New Mexico
1964  ,0,New Mexico
1965  ,0,New Mexico
1966  ,0,New Mexico
1967  ,0,New Mexico
1968  ,0,New Mexico
1969  ,0,New Mexico
1970  ,0,New Mexico
1971  ,0,New Mexico
1972  ,0,New Mexico
1973  ,0,New Mexico
1974  ,0,New Mexico
1975  ,0,New Mexico
1976  ,0,New Mexico
1977  ,0,New Mexico
1978  ,0,New Mexico
1979  ,0,New Mexico
1980  ,0,New Mexico
1981  ,0,New Mexico
1982  ,0,New Mexico
1983  ,0,New Mexico
1984  ,0,New Mexico
1985  ,0,New Mexico
1986  ,0,New Mexico
1987  ,0,New Mexico
1988  ,0,New Mexico
1989  ,0,New Mexico
1990  ,0,New Mexico
1991  ,0,New Mexico
1992  ,0,New Mexico
1993  ,0,New Mexico
1994  ,0,New Mexico
1995  ,0,New Mexico
1996  ,0,New Mexico
1997  ,0,New Mexico
1998  ,0,New Mexico
1999  ,0,New Mexico
2000  ,0,New Mexico
2001  ,0,New Mexico
2002  ,0,New Mexico
2003  ,0,New Mexico
2004  ,0,New Mexico
2005  ,0,New Mexico
2006  ,0,New Mexico
2007  ,0,New Mexico
2008  ,0,New Mexico
2009  ,0,New Mexico
2010  ,0,New Mexico
2011  ,0,New Mexico
2012  ,0,New Mexico
2013  ,0,New Mexico
2014  ,0,New Mexico
2015  ,0,New Mexico
2016  ,0,New Mexico
2017  ,0,New Mexico
2018  ,0,New Mexico
1960  ,0,Nevada
1961  ,0,Nevada
1962  ,0,Nevada
1963  ,0,Nevada
1964  ,0,Nevada
1965  ,0,Nevada
1966  ,0,Nevada
1967  ,0,Nevada
1968  ,0,Nevada
1969  ,0,Nevada
1970  ,0,Nevada
1971  ,0,Nevada
1972  ,0,Nevada
1973  ,0,Nevada
1974  ,0,Nevada
1975  ,0,Nevada
1976  ,0,Nevada
1977  ,0,Nevada
1978  ,0,Nevada
1979  ,0,Nevada
1980  ,0,Nevada
1981  ,0,Nevada
1982  ,0,Nevada
1983  ,0,Nevada
1984  ,0,Nevada
1985  ,0,Nevada
1986  ,0,Nevada
1987  ,0,Nevada
1988  ,0,Nevada
1989  ,0,Nevada
1990  ,0,Nevada
1991  ,0,Nevada
1992  ,0,Nevada
1993  ,0,Nevada
1994  ,0,Nevada
1995  ,0,Nevada
1996  ,0,Nevada
1997  ,0,Nevada
1998  ,0,Nevada
1999  ,0,Nevada
2000  ,0,Nevada
2001  ,0,Nevada
2002  ,0,Nevada
2003  ,0,Nevada
2004  ,0,Nevada
2005  ,0,Nevada
2006  ,0,Nevada
2007  ,0,Nevada
2008  ,0,Nevada
2009  ,0,Nevada
2010  ,0,Nevada
2011  ,0,Nevada
2012  ,0,Nevada
2013  ,0,Nevada
2014  ,0,Nevada
2015  ,0,Nevada
2016  ,0,Nevada
2017  ,0,Nevada
2018  ,0,Nevada
1960  ,0,New York
